98.87, 599.0
68.74, 450.0
89.24, 440.0
129.19, 780.0
61.64, 450.0
74.0, 315.0
124.07, 998.0
65.0, 435.0
57.52, 435.0
60.42, 225.0
98.78, 685.0
63.3, 320.0
94.8, 568.0
49.95, 365.0
84.76, 530.0
127.82, 720.0
85.19, 709.0
79.91, 510.0
91.56, 600.0
59.0, 300.0
96.22, 580.0
94.69, 380.0
45.0, 210.0
68.0, 320.0
77.37, 630.0
104.0, 415.0
81.0, 798.0
64.33, 450.0
86.43, 935.0
67.29, 310.0
68.69, 469.0
109.01, 480.0
56.78, 450.0
53.0, 550.0
95.26, 625.0
142.0, 850.0
76.19, 450.0
83.42, 450.0
104.88, 580.0
149.13, 750.0
155.51, 888.0
105.15, 570.0
44.98, 215.0
87.48, 680.0
154.9, 1300.0
69.02, 340.0
74.0, 510.0
130.3, 1260.0
160.0, 640.0
88.31, 535.0
80.38, 680.0
94.99, 557.0
87.98, 435.0
88.0, 430.0
65.39, 320.0
89.0, 395.0
97.36, 535.0
53.0, 470.0
120.0, 632.0
129.0, 520.0
138.68, 878.0
81.25, 520.0
81.37, 550.0
101.98, 630.0
99.5, 540.0
59.53, 350.0
60.0, 220.0
50.51, 270.0
120.82, 745.0
107.11, 650.0
57.0, 252.0
145.08, 1350.0
111.8, 625.0
99.51, 518.0
87.09, 705.0
112.82, 510.0
148.93, 1280.0
199.24, 900.0
112.42, 600.0
94.17, 588.0
198.54, 1350.0
77.02, 460.0
153.47, 900.0
69.16, 435.0
84.54, 430.0
100.74, 590.0
110.9, 620.0
109.74, 618.0
107.98, 590.0
108.63, 700.0
67.37, 435.0
138.53, 790.0
44.28, 315.0
107.51, 816.0
59.53, 388.0
118.87, 1155.0
59.38, 260.0
55.0, 360.0
81.02, 410.0
109.68, 680.0
127.0, 630.0
109.23, 545.0
85.03, 699.0
107.27, 620.0
120.3, 480.0
127.08, 680.0
158.63, 850.0
123.25, 895.0
151.68, 1000.0
65.84, 438.0
96.87, 780.0
166.0, 1400.0
59.53, 410.0
137.4, 1150.0
45.0, 209.0
88.54, 722.0
87.22, 720.0
164.0, 2000.0
69.34, 248.0
103.67, 750.0
74.2, 595.0
71.0, 440.0
53.0, 475.0
60.86, 850.0
90.14, 530.0
57.0, 338.0
138.82, 1150.0
89.0, 760.0
98.0, 400.0
143.35, 1150.0
113.81, 575.0
152.2, 1150.0
63.32, 330.0
66.91, 218.0
44.28, 305.0
97.76, 590.0
69.0, 285.0
55.0, 380.0
148.0, 1300.0
154.59, 868.0
131.5, 1020.0
87.1, 780.0
148.68, 749.0
94.22, 590.0
96.79, 670.0
99.19, 578.0
199.0, 1380.0
125.03, 630.0
60.95, 520.0
127.04, 680.0
85.63, 460.0
77.14, 320.0
75.63, 508.0
140.18, 800.0
59.53, 365.0
109.09, 850.0
152.0, 1850.0
122.0, 980.0
111.21, 630.0
56.7, 260.0
84.46, 588.0
83.19, 500.0
132.18, 1260.0
76.14, 480.0
107.29, 585.0
137.71, 780.0
108.22, 610.0
98.81, 570.0
139.0, 1180.0
89.0, 1100.0
89.47, 800.0
75.61, 496.0
84.54, 460.0
75.87, 490.0
61.0, 450.0
83.72, 500.0
53.0, 458.0
86.0, 700.0
